绿城桃花源,[江宁] 省道122与县道302交汇处(宁杭公路北侧 ...,5居/ 5居以上,待售,25500元/㎡,别墅,(33条评论)
高淳碧桂园,[高淳] 淳溪镇石臼湖北路76号(芜太路与石臼湖北...,2居/ 3居/ 5居,待售,11000元/㎡,普通住宅,(185条评论)
龙湖春江郦城,[江宁] 新亭路与竹山路交汇处,3居/ 4居/ 5居 － 115平米,待售,17000元/㎡,普通住宅,(119条评论)
融侨悦城,[江宁] 东山街道万安南路9号,3居/ 4居,待售,价格待定,普通住宅,(27条评论)
中海桃源里,[鼓楼] 姜家圩路与淮滨路交汇处,1居/ 2居/ 3居/ 4居 － 66~93平米,待售,价格待定,商住楼,(22条评论)
万科大都会,[雨花] 双龙大道与规划道路交汇处,2居/ 3居,待售,价格待定,普通住宅,(16条评论)
绿城深蓝,[江宁] 宏运大道1468号,3居/ 4居 － 136~143平米,待售,价格待定,商住楼,(22条评论)
龙湖紫都城,[鼓楼] 建宁路与金贸大街交汇处,1居/ 2居 － 75平米,在售,价格待定,购物中心,(1条评论)
汉中公馆,[秦淮] 汉西门大街与汉中路交汇处,1居/ 2居 － 42~76平米,在售,价格待定,酒店式公寓,(10条评论)
龙湖北宸星座,[浦口] 高新区星火路与文景路交汇处,2居 － 35~50平米,在售,价格待定,酒店式公寓,(2条评论)
富力星光里,[雨花] 板桥新城新湖大道与华兴路交汇处,1居 － 37平米,在售,16500元/㎡,酒店式公寓,(5条评论)
武夷绿洲,[江宁] 秣陵街道天元中路99号(天元中路与秦淮河...,2居/ 3居/ 4居/ 5居以上 － 309~460平米,在售,,独栋,(85条评论)
北外滩水城,[浦口] 浦珠北路北外滩1号(柳洲东路198号),2居/ 3居 － 89~123平米,在售,42000元/㎡,普通住宅,(588条评论)
雍福龙庭,[江宁] 将军大道129号,2居/ 3居/ 4居/ 5居以上,在售,20599元/㎡,普通住宅,(151条评论)
大华锦绣华城,[浦口] 南京市浦口区南浦路与民兵路交汇处,1居/ 2居/ 3居/ 4居 － 221~274平米,在售,23170元/㎡,普通住宅,(336条评论)
明月天珑湾,[江宁] 竹山南路688号(竹山路与诚信大道交汇处...,2居/ 3居/ 4居/ 5居/ 5居以上 － 164~251平米,在售,,别墅,(321条评论)
山河水,[浦口] 汤泉镇假日路8号(宁合高速汤泉镇出口),5居 － 488平米,在售,24634元/㎡,别墅,(72条评论)
山水云房,[浦口] 浦珠北路122号(澳林广场西侧),2居/ 3居/ 4居/ 5居 － 77~150平米,在售,25000元/㎡,普通住宅,(150条评论)
万科安品园舍,[秦淮] 仓家巷与七家湾交汇处,2居 － 420平米,在售,,普通住宅,(77条评论)
滟紫台,[江宁] 将军大道韩府路18号(翠屏国际城北侧),3居/ 4居 － 294平米,在售,1000万元/套,普通住宅,(153条评论)
恒盛金陵湾,[鼓楼] 郑和南路8号,1居/ 2居/ 3居/ 4居/ 5居,在售,22000元/㎡,普通住宅,(431条评论)
龙海骏景,[六合] 冶浦路99号(八百河与峨眉路交界处),2居/ 3居 － 120~149平米,在售,57680元/㎡,普通住宅,(135条评论)
金陵凤栖园,[秦淮] 公园路159号(瑞金路金润发斜对面),2居/ 3居/ 5居 － 132~184平米,在售,35000元/㎡,商住楼,(97条评论)
九龙湖别墅,[江宁] 清水亭西路188号(纺织工业园内),3居/ 4居/ 5居/ 5居以上 － 310~350平米,在售,37499元/㎡,别墅,(64条评论)
融侨观邸,[浦口] 江浦街道海院路88号,2居/ 3居/ 4居/ 5居 － 106~142平米,在售,11295元/㎡,联排,(218条评论)
明发珍珠泉9号,[浦口] 珍珠街178-1号(珍珠泉风景区内),3居/ 4居/ 5居/ 5居以上 － 277~478平米,在售,36000元/㎡,别墅,(100条评论)
浦泰和天下,[浦口] 江山路9号(江山路北侧 海德北岸对面),2居/ 3居 － 99~115平米,在售,24500元/㎡,普通住宅,(113条评论)
牧龙原墅,[江宁] 滨溪大道1000号,4居/ 5居/ 5居以上 － 506~550平米,在售,25500元/㎡,别墅,(106条评论)
江岸景城,[浦口] 乌江故居路8号,2居/ 3居,在售,1100万元/套,普通住宅,(137条评论)
金浦御龙湾,[栖霞] 和燕路390号(迈尧路与和燕路交汇处),2居/ 3居/ 4居/ 5居以上,在售,20988元/㎡,普通住宅,(76条评论)
恒辉假日广场,[浦口] 珍珠南路1号(明发新城中心对面),2居/ 3居/ 4居/ 5居 － 124~290平米,在售,26000元/㎡,普通住宅,(150条评论)
万达茂,[栖霞] 仙林大道与守敬路交汇处,1居/ 2居/ 3居/ 4居 － 51平米,在售,,普通住宅,(124条评论)
金浦紫御东方,[栖霞] 经五路与太新路交汇处,3居/ 4居 － 78~126平米,在售,13800元/㎡,普通住宅,(69条评论)
中航樾公馆,[江宁] 泉东路58号,3居/ 4居,在售,28979元/㎡,普通住宅,(50条评论)
银城君颐东方,[栖霞] 马群街169号(宁杭高速与规划道路交汇处...,2居/ 3居/ 4居 － 85~170平米,在售,50000元/㎡,普通住宅,(30条评论)
弘阳时光里,[浦口] 高新区蓝海路与高新北路交汇处(南京大学...,1居/ 2居/ 3居/ 4居 － 28平米,在售,,商住楼,(131条评论)
中冶盛世滨江,[鼓楼] 宝塔桥西街155号(金川河西路与城河北路...,2居/ 3居/ 4居,在售,41000元/㎡,商住楼,(45条评论)
